Date;ACCOR;CREDIT AGRICOLE ;AEROPORTS DE PARIS ;AIR FRANCE - KLM;L'AIR LIQUIDE;Airbus ;ARKEMA ;ALD ;ALSTOM ;ALTAREA SC;DASSAULT AVIATION;AMUNDI;ANTIN INFRASTRUCTURE PARTNERS;ALTEN ;ATOS ;SOCIETE BIC;BIOMERIEUX ;DANONE;BNP PARIBAS ;BOLLORE ;BUREAU VERITAS ;CARREFOUR;Capgemini ;CARMILA;CGG ;CASINO, GUICHARD-PERRACHON;COFACE;COVIVIO ;AXA;DERICHEBOURG ;JCDECAUX ;VINCI;SARTORIUS STEDIM BIOTECH;DASSAULT SYSTEMES ;EDENRED;ELECTRICITE DE FRANCE ;ELIOR GROUP;ELIS;BOUYGUES;ENGIE;Euronext ;FAURECIA;ERAMET ;EUROFINS SCIENTIFIC ;EUTELSAT COMMUNICATIONS;LA FRANCAISE DES JEUX ;EIFFAGE ;FNAC DARTY;VALEO;GETLINK;GECINA ;SOCIETE GENERALE ;GAZTRANSPORT ET TECHNIGAZ ;THALES;ICADE;IPSEN ;IPSOS ;INTERPARFUMS ;KERING ;KORIAN;KLEPIERRE;LEGRAND;LVMH MOET HENNESSY LOUIS VUITTON;MCPHY ENERGY;MERCIALYS;WENDEL;COMPAGNIE GENERALE DES ETABLISSEMENTS MICHELIN ;METROPOLE TELEVISION ;ArcelorMittal;NEOEN;NEXANS ;IMERYS;NEXITY ;L'OREAL;ORANGE ;ORPEA;OVH GROUPE ;COMPAGNIE PLASTIC OMNIUM ;PUBLICIS GROUPE ;REMY COINTREAU ;EURAZEO;PERNOD RICARD;RENAULT ;RUBIS;REXEL ;SOLUTIONS 30 ;SAFRAN ;SANOFI ;SCOR ;SES;SES-IMAGOTAG;COMPAGNIE DE SAINT-GOBAIN ;SEB;SOMFY;SOITEC ;SOPRA STERIA GROUP ;SPIE;Stellantis;STMicroelectronics ;SCHNEIDER ELECTRIC;SODEXO;Technip Energies;TELEPERFORMANCE ;TELEVISION FRANCAISE 1;TRIGANO ;TotalEnergies ;VEOLIA ENVIRONNEMENT ;VIRBAC;VIVENDI ;VALLOUREC;VALNEVA ;VERALLIA;WORLDLINE ;SOLVAY;SBF 120
12/16/2021;25.95;12.2;105.05;3.74;140.65;102.4;119.95;12.76;29.62;153.8;89.65;70.7;34.58;150.7;35.86;47.44;126.45;54.13;56.96;4.43;28.43;15.25;207.7;13.84;0.62;22.22;12.4;68.76;25.76;9.41;21.74;86.4;462.4;52.32;38.91;10.04;5.5;14.11;30.35;13;88.2;39.4;73.6;108.1;10.73;36.79;85.1;54.7;26.66;13.55;117.65;29.33;75.9;71.94;61.4;93.38;39.5;62.82;695.9;26.94;19.28;100.95;713.3;20.8;8.22;99.35;34.74;17.12;28.81;35.74;83.7;34.24;39.34;418.45;9.22;84.1;20.97;22.48;57.18;210.2;73.3;210;29.51;24.7;17.29;7.07;100;86.68;27.11;6.95;70.8;59.29;137.4;170.4;212.6;153.5;22.84;16.83;41.9;167.82;74.58;12.06;377.8;8.55;162.4;44.68;31.65;425;11.29;8.92;25.98;29.82;47.34;98.7;5421.39
12/17/2021;26.42;12.01;108.05;3.81;138.91;104.14;120.2;12.74;29.09;154.8;91.65;70.25;34;148.7;35.99;47.1;122.1;54.62;56.17;4.4;28.13;15.59;204.8;13.94;0.63;22.84;12.36;69.86;25.38;9.41;21.58;86.62;456;51.73;39.6;9.93;5.57;14.18;30.72;12.96;88.25;39.15;72.95;106.48;10.75;37.3;85.28;55.75;26;13.58;120.55;28.67;76.3;72.54;62.05;85.86;39;62.45;689.8;27.22;19.63;100.45;699;20.28;8.29;100.6;34.6;16.84;28.69;36.34;81.85;33.9;39.6;413.05;9.31;86.64;21.16;22.22;56.86;209.6;73.35;209.5;29.12;25.87;17.13;7.19;101.24;86.44;27.02;6.93;68.7;58.56;137.6;167.2;206.8;151.8;22.78;16.47;41.37;165.68;74.28;12.31;373.6;8.55;163.1;43.66;31.54;418;11.29;8.77;25.84;30;49.12;98.92;5368.57
12/20/2021;26.38;11.9;107.9;3.77;136.05;102.06;117.9;12.5;28.74;151;90.55;68.45;32;147.5;35.57;46.38;122.8;53.14;56.42;4.33;27.88;15.63;204.1;13.38;0.61;22.67;12.2;68.58;24.88;9.15;21.34;85.75;460.5;51.76;38.49;9.85;5.52;13.91;30.23;12.76;86.55;38.41;70.35;109.24;10.49;37.7;85.44;56.35;25.47;13.83;118.55;28.37;75.65;71.62;60.8;79.54;38.8;62.36;681.9;26.48;19.45;99.36;697.8;19.51;8.06;99.6;34;16.84;27.76;36.1;81.6;33.44;38.94;411;9.26;84.62;21.57;21.6;56.2;211;73.15;209.7;28.17;25.5;16.77;6.81;99.44;86.45;25.91;6.78;69.9;57.89;130.2;166.4;205.4;153.1;22.36;15.79;41.36;164.66;74.06;12.15;373.5;8.61;160.3;43.37;31.31;413;11.24;8.53;25.6;29.62;45.84;97.36;5322.34
12/21/2021;27.44;12.17;109.7;3.94;136.22;106.8;119.65;12.66;29.82;155;90.8;69.9;32.68;147;36.21;46.94;122.65;53.28;58.86;4.83;28.02;15.76;204.2;13.66;0.64;22.95;12.32;70.08;25.41;9.36;21.5;87.71;453.2;51.44;39.32;10.22;5.7;14.33;30.44;12.95;87.75;39.63;69.9;108.2;10.63;37.82;86.7;57.65;25.76;14;119.75;29.12;77.75;73.06;61.8;79.2;39.4;63;683.4;27.24;19.94;99.46;701.5;19.71;8.27;102.2;34.93;16.86;28.54;36.68;82.95;34.16;39.54;414.9;9.34;87.54;21.74;21.88;57.06;210.4;74.15;209.7;29.12;25.65;17.19;6.76;101.54;87.22;26.49;6.95;71;59.06;135;169;207.2;153.7;22.42;16.3;41.85;166.34;75.78;12.33;373;8.7;163.8;44.4;31.56;418.5;11.75;8.74;24.52;30.12;48.02;99.24;5397.23
12/22/2021;27.87;12.25;110.95;3.96;136.67;111.08;120.55;12.72;30.24;156.4;92.65;70.35;33.32;150.8;37.09;46.68;123.9;53.48;59.35;4.88;28.67;15.62;211.6;13.62;0.65;22.98;12.3;70.76;25.54;9.51;21.68;89.34;469.4;52.66;40.33;10.24;5.83;14.53;30.54;12.86;88.15;39.82;69.65;107.94;10.71;38.44;87.84;57.75;25.73;14.23;119.8;29.44;78.95;74.22;62.5;79.5;39.85;63.64;687.9;27.44;20.34;100.1;715.4;21.06;8.36;104;35.44;17.06;28.95;37.22;84.95;34.38;39.96;419;9.37;87.86;23.25;21.92;57.74;213.6;74.55;211.4;29.18;26.19;17.58;6.89;104.56;87.4;26.35;7.01;72.7;59.96;136.5;170.6;210.8;157.6;22.48;16.44;42.54;167.94;76.66;12.51;380.1;8.74;166.7;44.71;31.77;425.5;11.86;8.66;26.02;30.3;48.63;100;5464.39
12/23/2021;28.13;12.44;112.45;3.96;137.73;111.84;121.05;12.92;30.52;157.8;94.5;71.5;33.94;152.8;36.88;46.5;123.35;53.79;60;4.92;28.98;15.72;213.6;13.66;0.64;23.03;12.38;71.18;25.89;9.69;21.9;90.32;466.9;52.63;40.46;10.21;5.96;14.82;30.88;12.89;89.2;41.2;71.05;107.92;10.77;38.62;88.5;56.85;26.6;14.28;120;29.83;80.25;74.8;62.85;78.94;40.35;64.73;688.7;27.4;20.35;101.45;722;20.88;8.44;105.9;35.79;17.16;28.36;37.54;86.25;34.86;39.96;422.65;9.35;86.72;23.59;22.82;58.42;212.4;74.75;212.1;29.8;26.7;17.79;6.84;107.04;87.7;26.57;7.04;72.4;61.06;135.9;172;212;158;22.72;16.56;43.02;170.78;77.3;12.56;383;8.82;169.4;45.12;31.74;414.5;11.89;8.55;25.32;30.44;48.78;101.3;5505.06
12/24/2021;28.24;12.49;112.45;3.94;136.8;111.68;120.8;12.78;30.56;160;94.45;71.25;33.76;150.9;37.22;46.66;124.25;53.56;59.75;4.92;29.07;15.65;212.5;13.78;0.64;23.04;12.52;71.6;25.9;9.63;21.94;89.8;467.7;52.69;40.38;10.14;6.02;14.82;31;12.87;89.35;40.98;71.65;108.7;10.75;38.7;88.54;56.25;26.68;14.24;121.2;29.93;80.45;74.48;63.05;79;40.45;64.45;687;27.72;20.51;101.3;717.4;20.98;8.5;105.8;35.88;17.06;28.44;38;86.45;34.78;40.4;422.35;9.38;87;23.45;22.82;59;211.8;74.95;211.1;29.77;26.62;17.55;6.84;106.7;87.4;27.21;7;72.3;60.7;135.6;171.8;213.4;157.4;22.5;16.42;43.52;170.5;77.34;12.54;382.5;8.74;166.4;44.78;31.84;415.5;11.95;8.64;25.18;30.44;49.37;101.6;5492.56
12/27/2021;28.5;12.5;111.35;3.93;138.55;112.34;121.95;12.98;31.11;160.4;94.2;71.8;34.22;154.7;37.29;46.52;124.4;54.55;60.38;4.94;28.84;15.75;215.1;13.68;0.65;23.11;12.57;71.7;26.12;9.93;22.02;91.28;475.7;53.1;40.57;10.21;5.96;14.69;31;12.92;90;41.25;71.7;110.68;10.75;38.54;90.16;55.35;26.43;14.29;121.8;29.99;80.85;75.06;62.7;79.76;40.4;64.82;699;27.32;20.46;102.25;726.3;20.78;8.48;107.3;36.13;17.06;28.63;37.7;85.75;35.6;40.5;418.15;9.37;86.3;23.7;22.82;58.82;212;75.95;210.6;30.18;26.71;17.82;6.81;106.68;88.11;27.01;7;75;61.49;137.6;172.6;214;158.7;22.76;16.8;43.94;172.52;76.94;12.62;384.7;8.72;167;44.96;31.71;424.5;11.9;8.72;26.38;30.58;48.78;101.35;5531.52
12/28/2021;28.43;12.55;111.95;3.94;139.53;113.42;123.1;13.04;31.21;162.8;94.6;72.3;33.9;155.7;37.32;46.8;123.25;54.74;60.82;4.93;29.03;15.92;216.4;13.7;0.67;23.24;12.79;71.76;26.31;9.89;22;91.4;481.5;53.55;40.61;10.3;5.96;14.84;31.06;13.12;90.25;41.4;70.2;110.48;10.74;38.35;90.2;56.05;26.24;14.47;122.45;30.15;82.25;75.54;63.15;81;40.6;65;700.6;27.58;20.64;102.6;730.8;20.96;8.6;106.2;36.14;17.24;28.66;37.64;84.9;35.48;40.98;421.1;9.42;86.76;24.32;22.94;59.36;212.4;77.05;211;30.05;26.55;18;6.71;106.88;88.42;27.54;6.99;73.8;61.94;138.4;176.6;214;159.2;22.74;16.83;44.04;173.18;76.12;12.74;388;8.76;167.8;45.26;32.58;425;11.95;8.9;25.7;30.54;49.07;102.45;5561.58
12/29/2021;28.3;12.57;112;3.89;138.85;112.12;124.35;13.02;30.71;162.2;94.3;72.6;33.82;157.1;37.07;47.32;125;54.75;60.71;4.9;29.25;15.96;214.9;13.6;0.64;23.11;12.63;72.1;26.26;9.99;22.06;91.7;485.2;53.21;40.26;10.34;5.95;15.02;31.32;13.15;90.45;40.68;70.9;109.6;10.74;38.45;90.32;56.7;26.1;14.51;122.3;30.28;82.15;75.18;62.95;80.58;40.95;65.82;703.5;27.7;20.46;103.45;727.9;20.42;8.51;106;36.24;17.4;28.72;37.42;85.85;35.9;41.14;418.85;9.43;87.9;24.8;22.7;59.56;213.2;76.35;211.8;29.83;26.83;18.2;6.72;105.96;88.34;27.27;6.98;75.9;62.32;137.7;175.4;213.4;159.6;22.94;16.71;43.8;173.04;76.76;12.76;394.4;8.84;170.9;44.76;32.24;432;11.96;8.72;24.94;31.06;48.38;102.35;5549.04
